arch,act1,act2,acc_mean,acc_std,acc_ci95,f1_mean,prec_mean,rec_mean
BiLSTM+LSTM,ReLU,ELU,86.764,0.502,0.623,86.812,86.468,87.252
BiLSTM+LSTM,ReLU,PReLU,86.762,0.422,0.524,86.754,86.804,86.712
BiLSTM+LSTM,LeakyReLU,SiLU,86.758,0.541,0.672,86.778,86.62,86.972
BiLSTM+LSTM,Hardswish,ELU,86.756,0.45,0.559,86.696,87.11,86.412
BiLSTM+LSTM,GELU,Tanh,86.752,0.554,0.688,86.946,85.724,88.244
BiLSTM+BiLSTM,ReLU,LeakyReLU,86.744,0.308,0.383,86.798,86.466,87.156
BiLSTM+BiLSTM,Tanh,ELU,86.742,0.64,0.794,86.688,87.136,86.312
BiLSTM+BiLSTM,ELU,SELU,86.742,0.483,0.6,86.596,87.564,85.74
BiLSTM+BiLSTM,SiLU,Mish,86.738,0.509,0.632,86.588,87.57,85.772
BiLSTM+LSTM,PReLU,PReLU,86.722,0.591,0.734,86.704,86.774,86.756
